,Names,Ages,Positions,Clubs,Nationalities,"Values, €"
1227,Luca Zanimacchia,24,RW,Parma Calcio 1913,Italy,2.00m
1228,Lucas Alario,30,CF,Eintracht Frankfurt,Argentina,5.50m
1229,Lucas Boyé,26,CF,Elche CF,Argentina,8.00m
1230,Lucas Chevalier,21,GK,LOSC Lille,France,5.00m
1231,Lucas Digne,29,LB,Aston Villa,France,22.00m
1232,Lucas Hernández,27,CB,Bayern Munich,France,50.00m
1233,Lucas Höler,28,CF,SC Freiburg,Germany,5.00m
1234,Lucas Moura,30,RW,Tottenham Hotspur,Brazil,12.00m
1235,Lucas Olaza,28,LB,Real Valladolid CF,Uruguay,2.50m
1236,Lucas Paquetá,25,AM,West Ham United,Brazil,45.00m
1237,Lucas Perrin,24,CB,RC Strasbourg Alsace,France,3.50m
1238,Lucas Robertone,25,CM,UD Almería,Argentina,6.00m
1239,Lucas Torreira,27,DM,Galatasaray,Uruguay,15.00m
1240,Lucas Torró,28,DM,CA Osasuna,Spain,7.00m
1241,Lucas Vázquez,31,RB,Real Madrid,Spain,9.00m
1242,Lucien Agoumé,21,DM,ESTAC Troyes,France,7.00m
1243,Ludovic Ajorque,29,CF,1.FSV Mainz 05,France,11.00m
1244,Ludovic Blas,25,AM,FC Nantes,France,15.00m
1245,Luigi Sepe,31,GK,US Salernitana 1919,Italy,1.50m
1246,Luis Alberto,36,CF,Grêmio Foot-Ball Porto Alegrense,Uruguay,4.00m
1247,Luis Chávez,27,DM,CF Pachuca,Mexico,8.00m
1248,Luis Hernández,33,CB,Cádiz CF,Spain,1.00m
1249,Luis Milla,56,CM,Клуба нет,Spain,-
1250,Luis Muriel,31,CF,Atalanta BC,Colombia,12.00m
1251,Luis Romo,27,DM,CF Monterrey,Mexico,6.50m
1252,Luis Sinisterra,23,LW,Leeds United,Colombia,22.00m
1253,Luis Suárez,36,CF,Grêmio Foot-Ball Porto Alegrense,Uruguay,4.00m
1254,Luis Suárez,36,CF,Grêmio Foot-Ball Porto Alegrense,Uruguay,4.00m
1255,Luiz Felipe,25,CB,Real Betis Balompié,Italy,15.00m
1256,Luiz Henrique,22,RW,Real Betis Balompié,Brazil,15.00m
1257,Luka Jović,25,CF,ACF Fiorentina,Serbia,14.00m
1258,Luka Lochoshvili,24,CB,US Cremonese,Georgia,1.50m
1259,Luka Milivojevic,31,DM,Crystal Palace,Serbia,2.50m
1260,Luka Modric,37,CM,Real Madrid,Croatia,10.00m
1261,Lukas Hradecky,33,GK,Bayer 04 Leverkusen,Finland,2.50m
1262,Lukas Kübler,30,RB,SC Freiburg,Germany,2.30m
1263,Lukas Nmecha,24,CF,VfL Wolfsburg,Germany,18.00m
1264,Lukas Petkov,22,AM,SpVgg Greuther Fürth,Germany,600k
1265,Lukasz Fabianski,37,GK,West Ham United,Poland,1.00m
1266,Lukasz Poreba,22,DM,RC Lens,Poland,2.50m
1267,Lukasz Skorupski,31,GK,Bologna FC 1909,Poland,3.00m
1268,Luke Ayling,31,RB,Leeds United,England,2.00m
1269,Luke Shaw,27,LB,Manchester United,England,28.00m
1270,Luke Thomas,21,LB,Leicester City,England,10.00m
1271,Lyanco,26,CB,Southampton FC,Brazil,4.00m
1272,Lynnt Audoor,19,DM,Club Brugge KV,Belgium,800k
1273,M'Bala Nzola,26,CF,Spezia Calcio,Angola,3.50m
1274,M'Baye Niang,28,CF,AJ Auxerre,Senegal,3.00m
1275,Mads Pedersen,26,LB,FC Augsburg,Denmark,2.50m
1276,Mads Roerslev Rasmussen,23,RB,Brentford FC,Denmark,2.20m
1277,Mady Camara,25,CM,AS Roma,Guinea,11.00m
1278,Maghnes Akliouche,21,AM,AS Monaco,France,4.00m
1279,Mahdi Camara,24,CM,Stade Brestois 29,France,4.00m
1280,Makoto Hasebe,39,CB,Eintracht Frankfurt,Japan,800k
1281,Malang Sarr,24,CB,AS Monaco,France,8.00m
1282,Malcolm Ebiowei,19,RW,Hull City,England,3.00m
1283,Malick Thiaw,21,CB,AC Milan,Germany,6.00m
1284,Malo Gusto,19,RB,Olympique Lyon,France,15.00m
1285,Mama Baldé,27,CF,ESTAC Troyes,Guinea-Bissau,6.00m
1286,Mamadou Sakho,33,CB,Montpellier HSC,France,3.50m
1287,Manolo Gabbiadini,31,CF,UC Sampdoria,Italy,3.00m
1288,Manu Morlanes,24,CM,RCD Mallorca,Spain,4.00m
1289,Manu Sánchez,22,LB,CA Osasuna,Spain,10.00m
1290,Manu Trigueros,31,CM,Villarreal CF,Spain,6.00m
1291,Manu Vallejo,26,LW,Real Oviedo,Spain,3.00m
1292,Manuel Akanji,27,CB,Manchester City,Switzerland,30.00m
1293,Manuel Lanzini,30,AM,West Ham United,Argentina,10.00m
1294,Manuel Lazzari,29,RB,SS Lazio,Italy,15.00m
1295,Manuel Locatelli,25,DM,Juventus FC,Italy,30.00m
1296,Manuel Neuer,36,GK,Bayern Munich,Germany,12.00m
1297,Manuel Riemann,34,GK,VfL Bochum,Germany,1.20m
1298,Marash Kumbulla,23,CB,AS Roma,Albania,14.00m
1299,Marc Albrighton,33,RM,West Bromwich Albion,England,2.00m
1300,Marc Cucurella,24,LB,Chelsea FC,Spain,55.00m
1301,Marc Oliver Kempf,28,CB,Hertha BSC,Germany,4.50m
1302,Marc Roca,26,DM,Leeds United,Spain,12.00m
1303,Marc-André ter Stegen,30,GK,FC Barcelona,Germany,30.00m
1304,Marcão,26,CB,Sevilla FC,Brazil,12.00m
1305,Marcel Halstenberg,31,LB,RB Leipzig,Germany,4.00m
1306,Marcel Sabitzer,28,CM,Manchester United,Austria,20.00m
1307,Marcel Wenig,18,CM,Eintracht Frankfurt,Germany,800k
1308,Marcelo Brozovic,30,DM,Inter Milan,Croatia,35.00m
1309,Marco Asensio,27,RW,Real Madrid,Spain,25.00m
1310,Marco Bizot,31,GK,Stade Brestois 29,Netherlands,4.00m
1311,Marco Carnesecchi,22,GK,US Cremonese,Italy,8.00m
1312,Marco D'Alessandro,32,RW,AC Monza,Italy,900k
1313,Marco Friedl,24,CB,SV Werder Bremen,Austria,6.50m
1314,Marco Reus,33,AM,Borussia Dortmund,Germany,9.00m
1315,Marco Richter,25,RW,Hertha BSC,Germany,6.00m
1316,Marco Silvestri,31,GK,Udinese Calcio,Italy,5.00m
1317,Marco Sportiello,30,GK,Atalanta BC,Italy,1.50m
1318,Marco Verratti,30,CM,Paris Saint-Germain,Italy,50.00m
1319,Marcos Acuña,31,LB,Sevilla FC,Argentina,14.00m
1320,Marcos Alonso,32,LB,FC Barcelona,Spain,9.00m
1321,Marcos André,48,CM,Клуба нет,Brazil,-
1322,Marcos Antônio,46,DM,Клуба нет,Spain,-
1323,Marcos Llorente,28,CM,Atlético de Madrid,Spain,35.00m
1324,Marcos Senesi,25,CB,AFC Bournemouth,Argentina,17.00m
1325,Marcus Coco,26,RW,FC Nantes,France,1.50m
1326,Marcus Ingvartsen,27,CF,1.FSV Mainz 05,Denmark,3.50m
1327,Marcus Rashford,25,LW,Manchester United,England,55.00m
1328,Marcus Tavernier,23,CM,AFC Bournemouth,England,15.00m
1329,Marcus Thuram,25,CF,Borussia Mönchengladbach,France,32.00m
1330,Mariano Díaz,29,CF,Real Madrid,Dominican Republic,3.00m
1331,Marin Pongracic,25,CB,US Lecce,Croatia,6.00m
1332,Mario Gila,22,CB,SS Lazio,Spain,3.00m
1333,Mario Götze,30,AM,Eintracht Frankfurt,Germany,13.00m
1334,Mario Hermoso,27,CB,Atlético de Madrid,Spain,14.00m
1335,Mario Lemina,29,DM,Wolverhampton Wanderers,Gabon,7.00m
1336,Mario Pasalic,28,AM,Atalanta BC,Croatia,25.00m
1337,Mário Rui,31,LB,SSC Napoli,Portugal,8.00m
1338,Marius Bülter,29,LW,FC Schalke 04,Germany,2.50m
1339,Marius Wolf,27,RB,Borussia Dortmund,Germany,6.50m
1340,Mark Flekken,29,GK,SC Freiburg,Netherlands,7.00m
1341,Mark Travers,23,GK,AFC Bournemouth,Ireland,2.00m
1342,Mark Uth,31,CF,1. FC Köln,Germany,3.00m
1343,Marko Arnautovic,33,CF,Bologna FC 1909,Austria,9.00m
1344,Marko Dmitrović,31,GK,Sevilla FC,Serbia,5.00m
1345,Marko Grujic,26,DM,FC Porto,Serbia,9.00m
1346,Marko Pjaca,27,LW,FC Empoli,Croatia,3.00m
1347,Marlon,27,CB,AC Monza,Brazil,7.50m
1348,Marlos Moreno,26,RW,Konyaspor,Colombia,800k
1349,Marquinhos,28,CB,Paris Saint-Germain,Brazil,70.00m
1350,Marshall Munetsi,26,DM,Stade Reims,Zimbabwe,5.00m
1351,Marten de Roon,31,DM,Atalanta BC,Netherlands,12.00m
1352,Martin Adeline,19,CM,Rodez AF,France,800k
1353,Martin Braithwaite,31,CF,RCD Espanyol Barcelona,Denmark,5.00m
1354,Martin Erlic,25,CB,US Sassuolo,Croatia,5.50m
1355,Martin Hongla,24,DM,Real Valladolid CF,Cameroon,3.50m
1356,Martín Montoya,31,RB,Real Betis Balompié,Spain,1.50m
1357,Martin Ødegaard,24,AM,Arsenal FC,Norway,60.00m
1358,Martín Satriano,22,CF,FC Empoli,Uruguay,8.00m
1359,Martin Terrier,25,LW,Stade Rennais FC,France,35.00m
1360,Martin Valjent,27,CB,RCD Mallorca,Slovakia,4.50m
1361,Martín Zubimendi,24,DM,Real Sociedad,Spain,40.00m
1362,Márton Dárdai,21,CB,Hertha BSC,Germany,4.00m
1363,Marvin Ducksch,28,CF,SV Werder Bremen,Germany,5.00m
1364,Marvin Friedrich,27,CB,Borussia Mönchengladbach,Germany,8.00m
1365,Marvin Plattenhardt,31,LB,Hertha BSC,Germany,2.00m
1366,Marvin Schwäbe,27,GK,1. FC Köln,Germany,5.00m
1367,Mason Mount,24,AM,Chelsea FC,England,75.00m
1368,Massadio Haidara,30,LB,RC Lens,Mali,3.00m
1369,Mateo Kovacic,28,CM,Chelsea FC,Croatia,40.00m
1370,Mateus Uribe,31,DM,FC Porto,Colombia,12.00m
1371,Mateusz Klich,32,CM,D.C. United,Poland,2.00m
1372,Mateusz Lis,25,GK,ESTAC Troyes,Poland,1.00m
1373,Mateusz Wieteska,26,CB,Clermont Foot 63,Poland,3.00m
1374,Matheus Cunha,23,CF,Wolverhampton Wanderers,Brazil,20.00m
1375,Matheus Henrique,25,CM,US Sassuolo,Brazil,8.50m
1376,Matheus Nunes,24,CM,Wolverhampton Wanderers,Portugal,45.00m
1377,Mathew Ryan,30,GK,AZ Alkmaar,Australia,5.00m
1378,Mathias Jensen,27,CM,Brentford FC,Denmark,14.00m
1379,Mathías Olivera,25,LB,SSC Napoli,Uruguay,15.00m
1380,Mathias Pereira Lage,26,RM,Stade Brestois 29,France,2.50m
1381,Mathieu Coutadeur,36,CM,AC Ajaccio,France,250k
1382,Mathys Tel,17,CF,Bayern Munich,France,20.00m
1383,Matías Soulé,19,RW,Juventus FC,Argentina,4.00m
1384,Matías Vecino,31,CM,SS Lazio,Uruguay,4.50m
1385,Matías Viña,25,LB,AFC Bournemouth,Uruguay,6.00m
1386,Matija Nastasić,29,CB,RCD Mallorca,Serbia,1.50m
1387,Mats Hummels,34,CB,Borussia Dortmund,Germany,6.50m
1388,Matt Doherty,31,RB,Atlético de Madrid,Ireland,12.00m
1389,Matt Targett,27,LB,Newcastle United,England,15.00m
1390,Matt Turner,28,GK,Arsenal FC,United States,5.00m
1391,Matteo Bianchetti,29,CB,US Cremonese,Italy,800k
1392,Matteo Cancellieri,21,RW,SS Lazio,Italy,5.00m
1393,Matteo Darmian,33,RB,Inter Milan,Italy,4.00m
1394,Matteo Gabbia,23,CB,AC Milan,Italy,7.00m
1395,Mattéo Guendouzi,23,CM,Olympique Marseille,France,25.00m
1396,Matteo Lovato,23,CB,US Salernitana 1919,Italy,6.50m
1397,Matteo Pessina,25,AM,AC Monza,Italy,14.00m
1398,Matteo Politano,29,RW,SSC Napoli,Italy,20.00m
1399,Matteo Ruggeri,20,LB,Atalanta BC,Italy,2.00m
1400,Matthias Ginter,29,CB,SC Freiburg,Germany,20.00m
1401,Matthijs de Ligt,23,CB,Bayern Munich,Netherlands,70.00m
1402,Matthis Abline,19,CF,AJ Auxerre,France,3.00m
1403,Mattia Caldara,28,CB,Spezia Calcio,Italy,2.50m
1404,Mattia Destro,31,CF,FC Empoli,Italy,2.50m
1405,Mattia Zaccagni,27,LW,SS Lazio,Italy,22.00m
1406,Mattias Svanberg,24,CM,VfL Wolfsburg,Sweden,15.00m
1407,Matty Cash,25,RB,Aston Villa,Poland,22.00m
1408,Mauro Arambarri,27,CM,Getafe CF,Uruguay,15.00m
1409,Max Kilman,25,CB,Wolverhampton Wanderers,England,20.00m
1410,Maxence Caqueret,23,CM,Olympique Lyon,France,25.00m
1411,Maxence Lacroix,22,CB,VfL Wolfsburg,France,20.00m
1412,Maxime Dupé,29,GK,FC Toulouse,France,2.00m
1413,Maxime Estève,20,CB,Montpellier HSC,France,4.00m
1414,Maxime Gonalons,33,DM,Clermont Foot 63,France,1.00m
1415,Maxime Le Marchand,33,CB,RC Strasbourg Alsace,France,1.20m
1416,Maximilian Arnold,28,CM,VfL Wolfsburg,Germany,17.00m
1417,Maximilian Bauer,23,CB,FC Augsburg,Germany,3.50m
1418,Maximilian Eggestein,26,CM,SC Freiburg,Germany,8.00m
1419,Maximilian Mittelstädt,25,LB,Hertha BSC,Germany,2.00m
1420,Maximiliano Caufriez,26,CB,Clermont Foot 63,Belgium,1.20m
1421,Maya Yoshida,34,CB,FC Schalke 04,Japan,1.50m
1422,Mehdi Bourabia,31,DM,Spezia Calcio,Morocco,1.30m
1423,Mehdi Léris,24,RM,UC Sampdoria,Algeria,2.20m
1424,Mehdi Taremi,30,CF,FC Porto,Iran,20.00m
1425,Mehdi Torabi,28,LW,Persepolis FC,Iran,800k
1426,Mehdi Zeffane,30,RB,Clermont Foot 63,Algeria,500k
1427,Mehmet Aydin,21,RB,FC Schalke 04,Germany,1.00m
1428,Memphis Depay,29,CF,Atlético de Madrid,Netherlands,20.00m
1429,Mergim Berisha,24,CF,FC Augsburg,Germany,6.00m
1430,Mërgim Vojvoda,28,RB,Torino FC,Kosovo,5.00m
1431,Merih Demiral,24,CB,Atalanta BC,Turkey,25.00m
1432,Meshaal Barsham,25,GK,Al-Sadd SC,Qatar,450k
1433,Michael Estrada,26,CF,CD Cruz Azul,Ecuador,3.00m
1434,Michael Gregoritsch,28,CF,SC Freiburg,Austria,8.00m
1435,Michael Olise,21,RW,Crystal Palace,France,22.00m
1436,Michail Antonio,32,CF,West Ham United,Jamaica,9.00m
1437,Michel Adopo,22,CM,Torino FC,France,400k
1438,Michel Aebischer,26,CM,Bologna FC 1909,Switzerland,3.50m
1439,Michele Castagnetti,33,DM,US Cremonese,Italy,700k
1440,Michele Di Gregorio,25,GK,AC Monza,Italy,4.50m
1441,Michy Batshuayi,29,CF,Fenerbahce,Belgium,10.00m
1442,Mickaël Barreto,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена,Информация про игрока не найдена
1443,Mickaël Malsa,27,DM,Kasimpasa,Martinique,1.50m
1444,Micky van de Ven,21,CB,VfL Wolfsburg,Netherlands,8.00m
1445,Miguel Almirón,29,RW,Newcastle United,Paraguay,20.00m
1446,Miguel Gutiérrez,21,LB,Girona FC,Spain,8.00m
1447,Miguel Veloso,36,DM,Hellas Verona,Portugal,700k
1448,Miha Blazic,29,CB,Angers SCO,Slovenia,2.00m
1449,Mikel Merino,26,CM,Real Sociedad,Spain,50.00m
1450,Mikel Vesga,29,DM,Athletic Bilbao,Spain,5.00m
1451,Miki Yamane,29,RB,Kawasaki Frontale,Japan,1.70m
1452,Mikkel Damsgaard,22,LW,Brentford FC,Denmark,15.00m
1453,Mikkel Desler,28,RB,FC Toulouse,Denmark,2.50m
1454,Milad Mohammadi,29,LB,AEK Athens,Iran,2.00m
1455,Milan Borjan,35,GK,Red Star Belgrade,Canada,1.20m
1456,Milan Djuric,32,CF,Hellas Verona,Bosnia-Herzegovina,1.00m
1457,Milan Skriniar,28,CB,Inter Milan,Slovakia,60.00m
1458,Milos Degenek,28,CB,Columbus Crew,Australia,2.00m
1459,Milos Pantovic,26,AM,1.FC Union Berlin,Serbia,2.20m
1460,Milos Veljkovic,27,CB,SV Werder Bremen,Serbia,5.00m
1461,Min-jae Kim,26,CB,SSC Napoli,"Korea, South",35.00m
1462,Mislav Orsic,30,LW,Southampton FC,Croatia,10.00m
1463,Mitchel Bakker,22,LB,Bayer 04 Leverkusen,Netherlands,9.00m
1464,Mitchell van Bergen,23,LW,Stade Reims,Netherlands,1.50m
1465,Mitchell Weiser,28,RB,SV Werder Bremen,Germany,3.50m
1466,Mohamed Bayo,24,CF,LOSC Lille,Guinea,10.00m
1467,Mohamed Camara,23,DM,AS Monaco,Mali,25.00m
1468,Mohamed Elyounoussi,28,LW,Southampton FC,Norway,12.00m
1469,Mohamed Kanno,28,CM,Al-Hilal Saudi FC,Saudi Arabia,1.20m
1470,Mohamed Salah,30,RW,Liverpool FC,Egypt,80.00m
1471,Mohamed Simakan,22,CB,RB Leipzig,France,28.00m
1472,Mohamed Youssouf,34,RB,AC Ajaccio,Comoros,200k
1473,Mohammed Al-Owais,31,GK,Al-Hilal Saudi FC,Saudi Arabia,700k
1474,Mohammed Kudus,22,AM,Ajax Amsterdam,Ghana,20.00m
1475,Mohammed Muntari,29,CF,Al-Duhail SC,Qatar,300k
1476,Moi Gómez,28,LW,CA Osasuna,Spain,8.00m
1477,Moise Kean,22,CF,Juventus FC,Italy,20.00m
1478,Moisés Caicedo,21,CM,Brighton & Hove Albion,Ecuador,38.00m
1479,Momo Cho,19,CF,Real Sociedad,France,15.00m
1480,Momo Mbaye,24,CB,Cádiz CF,Senegal,700k
1481,Monchu,23,CM,Real Valladolid CF,Spain,5.00m
1482,Montassar Talbi,24,CB,FC Lorient,Tunisia,4.00m
1483,Moon-hwan Kim,27,RB,Jeonbuk Hyundai Motors,"Korea, South",950k
1484,Morgan Gibbs-White,23,AM,Nottingham Forest,England,25.00m
1485,Morten Hjulmand,23,DM,US Lecce,Denmark,8.00m
1486,Morten Thorsby,26,CM,1.FC Union Berlin,Norway,7.00m
1487,Mory Diaw,29,GK,Clermont Foot 63,Senegal,1.50m
1488,Moses Simon,27,LW,FC Nantes,Nigeria,9.00m
1489,Mostafa Mohamed,25,CF,FC Nantes,Egypt,6.00m
1490,Mouctar Diakhaby,26,CB,Valencia CF,Guinea,8.00m
1491,Mounaïm El Idrissy,24,CF,AC Ajaccio,France,1.80m
1492,Moussa Dembélé,26,CF,Olympique Lyon,France,18.00m
1493,Moussa Diaby,23,LW,Bayer 04 Leverkusen,France,50.00m
1494,Moussa Diarra,22,LB,FC Toulouse,Mali,800k
1495,Moussa Djenepo,24,LW,Southampton FC,Mali,10.00m
1496,Moussa Sissoko,33,CM,FC Nantes,France,3.50m
1497,Muhammed Cham,22,AM,Clermont Foot 63,Austria,4.00m
1498,Munas Dabbur,30,CF,TSG 1899 Hoffenheim,Israel,4.00m
1499,Munir El Haddadi,27,CF,Getafe CF,Morocco,4.00m
1500,Musa Barrow,24,LW,Bologna FC 1909,The Gambia,12.00m
1501,Myron Boadu,22,CF,AS Monaco,Netherlands,10.00m
1502,Nabil Bentaleb,28,CM,Angers SCO,Algeria,5.00m
1503,Nabil Fekir,29,AM,Real Betis Balompié,France,40.00m
1504,Nacho Fernández,33,CB,Real Madrid,Spain,5.00m
1505,Nacho Vidal,28,RB,CA Osasuna,Spain,5.00m
1506,Nadiem Amiri,26,CM,Bayer 04 Leverkusen,Germany,6.00m
1507,Nadir Zortea,23,RB,US Sassuolo,Italy,1.80m
1508,Nahuel Molina,24,RB,Atlético de Madrid,Argentina,22.00m
1509,Naïm Sliti,30,LW,Ettifaq FC,Tunisia,6.00m
1510,Nampalys Mendy,30,DM,Leicester City,Senegal,3.50m
1511,Naouirou Ahamada,20,CM,Crystal Palace,France,5.50m
1512,Nathan Aké,28,CB,Manchester City,Netherlands,30.00m
1513,Nathan Collins,21,CB,Wolverhampton Wanderers,Ireland,22.00m
1514,Neal Maupay,26,CF,Everton FC,France,13.00m
1515,Neco Williams,21,RB,Nottingham Forest,Wales,18.00m
1516,Nedim Bajrami,23,AM,US Sassuolo,Albania,8.00m
1517,Neeskens Kebano,30,LW,Fulham FC,DR Congo,4.00m
1518,Nehuén Pérez,22,CB,Udinese Calcio,Argentina,8.00m
1519,Nélson Semedo,29,RB,Wolverhampton Wanderers,Portugal,18.00m
1520,Nelson Weiper,17,CF,1.FSV Mainz 05,Germany,1.00m
1521,Nemanja Gudelj,31,DM,Sevilla FC,Serbia,4.00m
1522,Nemanja Maksimović,28,CM,Getafe CF,Serbia,10.00m
1523,Nemanja Matić,34,DM,AS Roma,Serbia,4.00m
1524,Nemanja Radonjić,27,LW,Torino FC,Serbia,4.00m
1525,Néstor Araújo,31,CB,CF América,Mexico,3.00m
1526,Neto,-,CF,------,Brazil,-
1527,Neto Borges,26,LB,Clermont Foot 63,Brazil,1.20m
1528,Neymar,31,LW,Paris Saint-Germain,Brazil,75.00m
1529,Nick Pope,30,GK,Newcastle United,England,18.00m
1530,Niclas Füllkrug,30,CF,SV Werder Bremen,Germany,10.00m
1531,Nico Elvedi,26,CB,Borussia Mönchengladbach,Switzerland,20.00m
1532,Nico González,24,LW,ACF Fiorentina,Argentina,23.00m
1533,Nico Melamed,21,LW,RCD Espanyol Barcelona,Spain,6.00m
1534,Nico Schlotterbeck,23,CB,Borussia Dortmund,Germany,33.00m
1535,Nico Williams,20,RW,Athletic Bilbao,Spain,25.00m
1536,Nicola Murru,28,LB,UC Sampdoria,Italy,1.60m
1537,Nicola Sansone,31,LW,Bologna FC 1909,Italy,1.50m
1538,Nicola Zalewski,21,LM,AS Roma,Poland,15.00m
1539,Nicolai Rapp,26,DM,1.FC Kaiserslautern,Germany,800k
1540,Nicolas Cozza,24,LB,VfL Wolfsburg,France,5.00m
1541,Nicolás Domínguez,24,CM,Bologna FC 1909,Argentina,12.00m
1542,Nicolás Fernández Mercau,23,LB,Elche CF,Argentina,2.50m
1543,Nicolas Haas,27,CM,FC Empoli,Switzerland,3.00m
1544,Nicolas Höfler,32,DM,SC Freiburg,Germany,2.50m
1545,Nicolas Jackson,21,CF,Villarreal CF,Senegal,15.00m
1546,Nicolas Moumi Ngamaleu,28,LW,Dynamo Moscow,Cameroon,4.00m
1547,Nicolás Otamendi,35,CB,SL Benfica,Argentina,3.00m
1548,Nicolas Pallois,35,CB,FC Nantes,France,1.00m
1549,Nicolás Tagliafico,30,LB,Olympique Lyon,Argentina,9.00m
1550,Nicolò Barella,26,CM,Inter Milan,Italy,70.00m
1551,Nicolò Cambiaghi,22,LW,FC Empoli,Italy,2.00m
1552,Nicolò Casale,25,CB,SS Lazio,Italy,9.00m
1553,Nicolò Fagioli,22,CM,Juventus FC,Italy,8.00m
1554,Nicolò Rovella,21,DM,AC Monza,Italy,12.00m
1555,Nicolò Zaniolo,23,AM,Galatasaray,Italy,30.00m
1556,Niklas Schmidt,24,AM,SV Werder Bremen,Germany,1.50m
1557,Niklas Stark,27,CB,SV Werder Bremen,Germany,4.50m
1558,Niklas Süle,27,CB,Borussia Dortmund,Germany,35.00m
1559,Niklas Tauer,22,DM,FC Schalke 04,Germany,1.50m
1560,Niko Gießelmann,31,LB,1.FC Union Berlin,Germany,2.00m
1561,Nikola Milenković,25,CB,ACF Fiorentina,Serbia,20.00m
1562,Nikola Moro,24,DM,Bologna FC 1909,Croatia,7.00m
1563,Nikola Soldo,22,CB,1. FC Köln,Croatia,1.50m
1564,Nikola Vlasic,25,AM,Torino FC,Croatia,20.00m
1565,Nikolas Nartey,23,CM,VfB Stuttgart,Denmark,1.80m
1566,Nils Petersen,34,CF,SC Freiburg,Germany,1.50m
1567,Noa Lang,23,LW,Club Brugge KV,Netherlands,15.00m
1568,Noah Fadiga,23,RB,Stade Brestois 29,Senegal,1.00m
1569,Noah Jean Holm,21,CF,Stade Reims,Norway,800k
1570,Noah Weißhaupt,21,LW,SC Freiburg,Germany,2.50m
1571,Norbert Gyomber,30,CB,US Salernitana 1919,Slovakia,1.00m
1572,Nordi Mukiele,25,RB,Paris Saint-Germain,France,20.00m
1573,Nordine Kandil,21,AM,RC Strasbourg Alsace,France,400k
1574,Nouhou Tolo,25,LB,Seattle Sounders FC,Cameroon,3.00m
1575,Noussair Mazraoui,25,RB,Bayern Munich,Morocco,28.00m
1576,Nuno Mendes,20,LB,Paris Saint-Germain,Portugal,60.00m
1577,Nuno Tavares,23,LB,Olympique Marseille,Portugal,18.00m
1578,Odilon Kossounou,22,CB,Bayer 04 Leverkusen,Cote d'Ivoire,20.00m
1579,Odsonne Edouard,25,CF,Crystal Palace,France,17.00m
1580,Odysseas Vlachodimos,28,GK,SL Benfica,Greece,16.00m
1581,Oier Zarraga,24,CM,Athletic Bilbao,Spain,3.00m
1582,Oihan Sancet,22,AM,Athletic Bilbao,Spain,20.00m
1583,Ola Aina,26,RB,Torino FC,Nigeria,3.50m
1584,Oliver Baumann,32,GK,TSG 1899 Hoffenheim,Germany,4.50m
1585,Oliver Burke,25,CF,Millwall FC,Scotland,3.00m
1586,Oliver Christensen,23,GK,Hertha BSC,Denmark,4.50m
1587,Oliver Skipp,22,DM,Tottenham Hotspur,England,15.00m
1588,Óliver Torres,28,CM,Sevilla FC,Spain,9.00m
1589,Oliver Zandén,21,LB,FC Toulouse,Sweden,1.20m
1590,Olivier Giroud,36,CF,AC Milan,France,4.00m
1591,Ollie Watkins,27,CF,Aston Villa,England,32.00m
1592,Omar Colley,30,CB,Besiktas JK,The Gambia,3.50m
1593,Omar Marmoush,24,LW,VfL Wolfsburg,Egypt,6.00m
1594,Omar Mascarell,30,DM,Elche CF,Spain,3.50m
1595,Ondrej Duda,28,AM,Hellas Verona,Slovakia,4.00m
1596,Orel Mangala,24,CM,Nottingham Forest,Belgium,12.00m
1597,Oriol Romeu,31,DM,Girona FC,Spain,5.00m
1598,Óscar de Marcos,33,RB,Athletic Bilbao,Spain,1.80m
1599,Óscar Gil,24,RB,RCD Espanyol Barcelona,Spain,3.00m
1600,Óscar Mingueza,23,CB,Celta de Vigo,Spain,3.00m
1601,Óscar Plano,32,RW,Real Valladolid CF,Spain,3.00m
1602,Óscar Rodríguez,24,AM,Celta de Vigo,Spain,10.00m
1603,Óscar Trejo,34,AM,Rayo Vallecano,Argentina,3.00m
1604,Óscar Valentín,28,CM,Rayo Vallecano,Spain,4.00m
1605,Otávio,28,RM,FC Porto,Portugal,30.00m
1606,Oumar Gonzalez,25,CB,AC Ajaccio,Cameroon,2.50m
1607,Ousmane Dembélé,25,RW,FC Barcelona,France,60.00m
1608,Ozan Kabak,22,CB,TSG 1899 Hoffenheim,Turkey,10.00m
1609,Pablo Fornals,27,AM,West Ham United,Spain,25.00m
1610,Pablo Ibáñez,41,CB,Клуба нет,Spain,-
1611,Pablo Maffeo,25,RB,RCD Mallorca,Spain,6.00m
1612,Pablo Marí,29,CB,AC Monza,Spain,5.00m
1613,Pablo Rodríguez,-,Defender,------,Uruguay,-
1614,Pablo Rosario,26,DM,OGC Nice,Netherlands,7.00m
1615,Pablo Sarabia,30,RW,Wolverhampton Wanderers,Spain,20.00m
1616,Pablo Torre,19,CM,FC Barcelona,Spain,3.00m
1617,Papa Ndiaga Yade,23,LW,ESTAC Troyes,Senegal,1.80m
1618,Pape Abou Cissé,27,CB,Olympiacos Piraeus,Senegal,6.00m
1619,Pape Gueye,24,DM,Sevilla FC,Senegal,10.00m
1620,Papu Gómez,35,LW,Sevilla FC,Argentina,4.00m
1621,Pascal Groß,31,CM,Brighton & Hove Albion,Germany,8.00m
